CONSTITUENT_ID	AGE	GENDER	MARRIED	STATE	COUNT(F.FAMILY_ID)	COUNT(E.EVENT_ATTENDEE_ID)	COUNT(V.VOLUNTEER_ID)	sum(T.AMOUNT)
1063400	60	Female	0	Colorado	0	0	0	NULL
1063428	58	Female	1	Illinois	0	0	0	NULL
1063465	68	Male	1	Illinois	0	0	0	NULL
1063502	60	Female	1	California	0	0	0	NULL
1064331	38	Female	0	Illinois	0	0	0	NULL
1064448	24	Female	0	Illinois	0	0	0	NULL
1065305	97	Female	0	Illinois	0	2	0	20
1067251	0	Male	0	No State	0	0	0	40
1068016	60	Female	1	California	0	0	0	NULL
1068071	60	Female	1	Illinois	1	0	0	NULL
1068078	0	Female	0	Maine	0	0	0	NULL
1068231	65	Male	0	Illinois	0	0	0	NULL
1068265	60	Female	0	Colorado	0	0	0	NULL
1068328	61	Female	0	Illinois	0	0	0	NULL
1068400	60	Female	1	Illinois	0	0	0	NULL
1068578	73	Female	0	Michigan	0	0	0	NULL
1068613	62	Male	0	Wisconsin	0	0	0	NULL
1068711	63	Female	0	Illinois	1	0	0	NULL
1068757	58	Female	0	Illinois	0	0	0	NULL
1070521	62	Male	1	Illinois	0	0	0	NULL
1070581	59	Female	0	Alabama	0	0	0	NULL
1070592	66	Female	0	New York	0	0	0	NULL
1070600	61	Female	0	Illinois	0	0	0	NULL
1070627	68	Female	0	Illinois	0	0	0	50
1070866	62	Female	0	Arizona	0	0	0	NULL
1072044	0	Female	0	No State	0	0	0	NULL
1072101	88	Female	0	No State	1	0	0	NULL
1072751	23	Female	0	Illinois	0	0	0	NULL
1072824	24	Female	0	Illinois	0	0	0	NULL
1074130	93	Female	0	No State	0	0	0	NULL
1074984	60	Female	1	Colorado	0	3	3	NULL
1075101	60	Female	0	Oregon	0	0	0	NULL
1075244	67	Male	1	Illinois	2	2	0	NULL
1075255	58	Female	0	Illinois	0	0	0	NULL
1075260	64	Female	1	Illinois	0	1	0	NULL
1075410	62	Female	0	Illinois	0	2	0	NULL
1075526	63	Female	1	Illinois	0	0	0	NULL
1076830	62	Female	1	Illinois	0	0	0	NULL
1076831	61	Female	0	Georgia	0	0	0	NULL
